Maand;CPI;Afgeleide CPI;Effect belastingen en subsidies
januari 2016;0,6;0,5;0,1
februari 2016;0,6;0,6;0,0
maart 2016;0,6;0,5;0,1
april 2016;0,0;-0,1;0,1
mei 2016;0,0;-0,1;0,1
juni 2016;0,0;0,0;0,0
juli 2016;-0,2;-0,3;0,1
augustus 2016;0,2;0,1;0,1
september 2016;0,1;0,0;0,1
oktober 2016;0,4;0,4;0,0
november 2016;0,6;0,6;0,0
december 2016;1,0;0,9;0,1
januari 2017;1,7;1,6;0,1
februari 2017;1,8;1,7;0,1
maart 2017;1,1;1,1;0,0
april 2017;1,6;1,6;0,0
mei 2017;1,1;1,0;0,1
juni 2017;1,1;1,1;0,0
juli 2017;1,3;1,4;-0,1
augustus 2017;1,4;1,4;0,0
september 2017;1,5;1,5;0,0
oktober 2017;1,3;1,3;0,0
november 2017;1,5;1,5;0,0
december 2017;1,3;1,2;0,1
januari 2018;1,5;1,3;0,2
februari 2018;1,2;1,0;0,2
maart 2018;1,0;0,8;0,2
april 2018;1,1;0,8;0,3
mei 2018;1,7;1,4;0,3
juni 2018;1,7;1,3;0,4
juli 2018;2,1;1,7;0,4
augustus 2018;2,1;1,7;0,4
september 2018;1,9;1,5;0,4
oktober 2018;2,1;1,7;0,4
november 2018;2,0;1,6;0,4
december 2018;2,0;1,5;0,5
januari 2019;2,2;1,0;1,2
februari 2019;2,6;1,4;1,2
maart 2019;2,8;1,7;1,1
april 2019;2,9;1,8;1,1
mei 2019;2,4;1,4;1,0
juni 2019;2,7;1,6;1,1
juli 2019;2,5;1,5;1,0
augustus 2019;2,8;1,8;1,0
september 2019;2,6;1,6;1,0
oktober 2019;2,7;1,7;1,0
november 2019;2,6;1,6;1,0
december 2019;2,7;1,7;1,0
januari 2020;1,8;2,0;-0,2
februari 2020;1,6;1,7;-0,1
maart 2020;1,4;1,5;-0,1
april 2020;1,2;1,3;-0,1
mei 2020;1,2;1,1;0,1
juni 2020;1,6;1,4;0,2
juli 2020;1,7;1,6;0,1
augustus 2020;0,7;0,6;0,1
september 2020;1,1;1,0;0,1
oktober 2020;1,2;1,1;0,1
november 2020;0,8;0,7;0,1
december 2020;1,0;0,9;0,1
januari 2021;1,6;1,2;0,4
februari 2021;1,8;1,5;0,3
maart 2021;1,9;1,5;0,4
april 2021;1,9;1,5;0,4
mei 2021;2,1;1,9;0,2
juni 2021;2,0;1,9;0,1
juli 2021;1,4;1,3;0,1
augustus 2021;2,4;2,3;0,1
september 2021;2,7;2,6;0,1
oktober 2021;3,4;3,3;0,1
november 2021;5,2;5,0;0,2
december 2021;5,7;5,6;0,1
januari 2022;6,4;7,4;-1,0
februari 2022;6,2;7,1;-0,9
maart 2022;9,7;10,7;-1,0
april 2022;9,6;10,9;-1,3
mei 2022;8,8;10,1;-1,3
juni 2022;8,6;9,9;-1,3
juli 2022;10,3;12,4;-2,1
augustus 2022;12,0;14,3;-2,3
september 2022;14,5;17,2;-2,7
oktober 2022;14,3;16,9;-2,6
november 2022;9,9;12,1;-2,2
december 2022;9,6;11,8;-2,2
januari 2023;7,6;7,6;0,0
februari 2023;8,0;8,0;0,0
maart 2023;4,4;4,5;-0,1
april 2023;5,2;5,0;0,2
mei 2023;6,1;5,8;0,3
juni 2023;5,7;5,4;0,3
juli 2023;4,6;3,3;1,3
augustus 2023;3,0;1,6;1,4
september 2023;0,2;-1,4;1,6
oktober 2023;-0,4;-2,0;1,6
november 2023;1,6;0,2;1,4
december 2023;1,2;-0,2;1,4
januari 2024;3,2;2,4;0,8
februari 2024;2,8;2,1;0,7
maart 2024;3,1;2,3;0,8
april 2024;2,7;1,9;0,8
mei 2024;2,7;1,9;0,8
juni 2024;3,2;2,1;1,1
juli 2024;3,7;2,7;1,0
augustus 2024;3,6;2,6;1,0
september 2024;3,5;2,5;1,0
oktober 2024;3,5;2,6;0,9
november 2024;4,0;3,1;0,9
december 2024;4,1;3,1;1,0
januari 2025;3,3;2,7;0,6
februari 2025;3,8;3,2;0,6
maart 2025;3,7;3,1;0,6
april 2025;4,1;3,5;0,6
mei 2025;3,3;2,7;0,6
juni 2025;3,1;2,9;0,2
juli 2025;2,9;2,8;0,1
augustus 2025;2,8;2,7;0,1
september 2025*;3,3;3,2;0,1
* Voorlopige cijfers
